[2025-05-19 21:29:58,920: INFO: main: Logging has been set up successfully.]
[2025-05-20 12:27:52,716: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:27:52,719: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:28:40,253: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:28:40,254: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:28:52,196: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:28:52,197: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:29:42,339: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:29:42,341: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:33:58,689: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:33:58,690: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:35:36,617: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:35:36,619: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 13:51:26,078: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 13:51:26,080: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 13:54:39,202: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 13:54:39,204: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 13:54:39,204: INFO: common: created directory at: artifacts]
[2025-05-20 13:54:39,205: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-20 13:54:39,205: INFO: 1983665874: Downloading data from https://drive.google.com/file/d/1Gz9eEwvMF5oiWyQkM161mETD73XW8FvE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-20 13:54:53,658: INFO: 1983665874: Downloaded data from https://drive.google.com/file/d/1Gz9eEwvMF5oiWyQkM161mETD73XW8FvE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
